canonical_feature,role,unit,type,priority_tier,lasi_field,lasi_dad_field,adni_field,amp_ad_field,niagads_adsp_field,ukb_field,transform_rule,allowed_time_window,missingness_policy,notes
subject_id,group_key,string,identifier,1,person_id,person_id,RID,subject_id,subject_id,eid,"stable string cast","any","must_not_missing","primary grouping key"
site_id,group_key,string,categorical,1,state_or_site,state_or_site,SITEID,study_site,study_site,assessment_center,"uppercase + trim","any","must_not_missing","split leakage guard key"
visit_date,time_key,date,date,1,visit_date,visit_date,EXAMDATE,visit_date,visit_date,assessment_date,"ISO-8601 normalize","<= index_date","must_not_missing","strict temporal split key"
age_years,covariate,years,continuous,1,age,age,AGE,age_at_visit,age,age_recruit,"numeric cast; clamp [40,110]","<= index_date","median_by_cohort+indicator","core demographic"
sex_at_birth,covariate,category,categorical,1,sex,sex,PTGENDER,sex,sex,sex,"map to {female,male,other_unknown}","static","mode_by_cohort+indicator","core demographic"
education_years,covariate,years,continuous,2,education,education,PTEDUCAT,education_years,education_years,qualifications_to_years,"map categories to years","<= index_date","median_by_cohort+indicator","socioeconomic adjustment"
cognitive_global_score,target_or_covariate,zscore,continuous,1,cog_global,cog_global,ADAS13_or_MMSE,global_cog_proxy,global_cog_proxy,fluid_intel_proxy,"within-cohort zscore; align higher=worse","index or prior","complete_case_for_primary","target proxy harmonization"
dementia_dx,target,0_1,binary,1,dementia_dx,dementia_dx,DX_dementia,dx_proxy,dx_proxy,hospital_icd_proxy,"map diagnosis labels to binary","event after index for incident task","exclude_ambiguous","primary classification endpoint"
followup_time_days,survival_time,days,continuous,1,followup_days,followup_days,followup_days,followup_days,followup_days,followup_days,"event_or_censor_date-index_date","post-index only","must_not_missing_for_survival","for optional survival arm"
apoe4_count,covariate,0_2,ordinal,2,NA,apoe4_count,APOE4,NA,apoe4_count,apoe4_count,"integer cast in [0,2]","static","indicator_if_missing","genetic risk"
prs_ad,covariate,zscore,continuous,3,NA,NA,prs_ad,NA,prs_ad,prs_ad,"cohort zscore then alignment check","static","indicator_if_missing","optional genomic feature"
rna_module_1,covariate,zscore,continuous,3,NA,NA,module1,module1,module1,NA,"module summarize then zscore","<= index_date","median_by_cohort+indicator","optional transcriptomics"
protein_panel_1,covariate,zscore,continuous,3,NA,NA,panel1,panel1,panel1,NA,"panel summarize then zscore","<= index_date","median_by_cohort+indicator","optional proteomics"
mri_hippocampus_norm,covariate,zscore,continuous,2,NA,NA,hippocampus_norm,NA,NA,hippocampus_norm,"ICV-normalize then zscore","<= index_date","site_stratified_impute+indicator","imaging optional"
